PointX=0.026892, PointY=-0.408891, beamIdx=134, quality=0
PointX=0.029332, PointY=-0.407770, beamIdx=135, quality=0
PointX=0.031834, PointY=-0.407582, beamIdx=136, quality=0
PointX=0.034334, PointY=-0.407379, beamIdx=137, quality=0
PointX=0.036919, PointY=-0.408108, beamIdx=138, quality=0
PointX=0.039422, PointY=-0.407874, beamIdx=139, quality=0
PointX=0.041924, PointY=-0.407624, beamIdx=140, quality=0
PointX=0.044424, PointY=-0.407359, beamIdx=141, quality=0
PointX=0.047040, PointY=-0.407065, beamIdx=142, quality=0
PointX=0.049537, PointY=-0.406769, beamIdx=143, quality=0
PointX=0.052153, PointY=-0.407401, beamIdx=144, quality=0
PointX=0.054651, PointY=-0.407073, beamIdx=145, quality=0
PointX=0.057148, PointY=-0.406730, beamIdx=146, quality=0
PointX=0.059643, PointY=-0.406372, beamIdx=147, quality=0
PointX=0.062279, PointY=-0.406938, beamIdx=148, quality=0
PointX=0.064775, PointY=-0.406548, beamIdx=149, quality=0
PointX=0.067268, PointY=-0.406143, beamIdx=150, quality=0
PointX=0.069920, PointY=-0.406660, beamIdx=151, quality=0
PointX=0.072414, PointY=-0.406223, beamIdx=152, quality=0
PointX=0.074905, PointY=-0.405771, beamIdx=153, quality=0
PointX=0.077354, PointY=-0.405311, beamIdx=154, quality=0
PointX=0.080024, PointY=-0.405762, beamIdx=155, quality=0
PointX=0.082512, PointY=-0.405263, beamIdx=156, quality=0
PointX=0.084997, PointY=-0.404749, beamIdx=157, quality=0
PointX=0.087641, PointY=-0.405158, beamIdx=158, quality=0
PointX=0.090126, PointY=-0.404612, beamIdx=159, quality=0
PointX=0.092568, PointY=-0.404060, beamIdx=160, quality=0
PointX=0.095263, PointY=-0.404410, beamIdx=161, quality=0
PointX=0.097743, PointY=-0.403818, beamIdx=162, quality=0
PointX=0.100448, PointY=-0.404133, beamIdx=163, quality=0
PointX=0.102887, PointY=-0.403519, beamIdx=164, quality=0
PointX=0.105602, PointY=-0.403800, beamIdx=165, quality=0
PointX=0.108078, PointY=-0.403145, beamIdx=166, quality=0
PointX=0.110801, PointY=-0.403391, beamIdx=167, quality=0
PointX=0.113235, PointY=-0.402714, beamIdx=168, quality=0
PointX=0.115967, PointY=-0.402925, beamIdx=169, quality=0
PointX=0.118437, PointY=-0.402206, beamIdx=170, quality=0
PointX=0.121177, PointY=-0.402382, beamIdx=171, quality=0
PointX=0.123490, PointY=-0.401679, beamIdx=172, quality=0
PointX=0.126237, PointY=-0.401820, beamIdx=173, quality=0
PointX=0.128837, PointY=-0.401993, beamIdx=174, quality=0
PointX=0.131301, PointY=-0.401195, beamIdx=175, quality=0
PointX=0.133869, PointY=-0.401348, beamIdx=176, quality=0
PointX=0.136329, PointY=-0.400519, beamIdx=177, quality=0
PointX=0.139019, PointY=-0.400600, beamIdx=178, quality=0
PointX=0.141792, PointY=-0.400635, beamIdx=179, quality=0
PointX=0.144094, PointY=-0.399813, beamIdx=180, quality=0
PointX=0.146872, PointY=-0.399814, beamIdx=181, quality=0
PointX=0.149132, PointY=-0.398977, beamIdx=182, quality=0
PointX=0.151915, PointY=-0.398943, beamIdx=183, quality=0
PointX=0.154589, PointY=-0.398934, beamIdx=184, quality=0
PointX=0.157034, PointY=-0.397978, beamIdx=185, quality=0
PointX=0.159637, PointY=-0.397965, beamIdx=186, quality=0
PointX=0.162435, PointY=-0.397859, beamIdx=187, quality=0
PointX=0.165162, PointY=-0.397764, beamIdx=188, quality=0
PointX=0.167599, PointY=-0.396743, beamIdx=189, quality=0
PointX=0.170292, PointY=-0.396630, beamIdx=190, quality=0
PointX=0.173102, PointY=-0.396449, beamIdx=191, quality=0
PointX=0.175766, PointY=-0.396316, beamIdx=192, quality=0
PointX=0.178585, PointY=-0.396097, beamIdx=193, quality=0
PointX=0.181766, PointY=-0.396739, beamIdx=194, quality=0
PointX=0.184197, PointY=-0.395617, beamIdx=195, quality=0
PointX=0.186914, PointY=-0.395392, beamIdx=196, quality=0
PointX=0.189748, PointY=-0.395095, beamIdx=197, quality=0
PointX=0.192472, PointY=-0.394833, beamIdx=198, quality=0
PointX=0.195313, PointY=-0.394497, beamIdx=199, quality=0
PointX=0.198006, PointY=-0.394216, beamIdx=200, quality=0
PointX=0.200853, PointY=-0.393841, beamIdx=201, quality=0
PointX=0.203627, PointY=-0.393484, beamIdx=202, quality=0
PointX=0.206038, PointY=-0.392228, beamIdx=203, quality=0
PointX=0.208775, PointY=-0.391855, beamIdx=204, quality=0
PointX=0.211628, PointY=-0.391403, beamIdx=205, quality=0
PointX=0.214370, PointY=-0.390992, beamIdx=206, quality=0
PointX=0.217227, PointY=-0.390500, beamIdx=207, quality=0
PointX=0.220236, PointY=-0.389904, beamIdx=208, quality=0
PointX=0.223097, PointY=-0.389370, beamIdx=209, quality=0
PointX=0.225811, PointY=-0.388902, beamIdx=210, quality=0
PointX=0.228675, PointY=-0.388329, beamIdx=211, quality=0
PointX=0.231355, PointY=-0.387846, beamIdx=212, quality=0
PointX=0.234223, PointY=-0.387232, beamIdx=213, quality=0
PointX=0.237054, PointY=-0.386621, beamIdx=214, quality=0
PointX=0.239924, PointY=-0.385967, beamIdx=215, quality=0
PointX=0.242647, PointY=-0.385385, beamIdx=216, quality=0
PointX=0.245518, PointY=-0.384690, beamIdx=217, quality=0
PointX=0.248206, PointY=-0.384094, beamIdx=218, quality=0
PointX=0.251079, PointY=-0.383359, beamIdx=219, quality=0
PointX=0.253879, PointY=-0.382652, beamIdx=220, quality=0
PointX=0.256753, PointY=-0.381876, beamIdx=221, quality=0
PointX=0.259444, PointY=-0.381203, beamIdx=222, quality=0
PointX=0.262318, PointY=-0.380387, beamIdx=223, quality=0
PointX=0.265009, PointY=-0.379677, beamIdx=224, quality=0
PointX=0.267992, PointY=-0.378743, beamIdx=225, quality=0
PointX=0.271237, PointY=-0.378767, beamIdx=226, quality=0
PointX=0.274114, PointY=-0.377865, beamIdx=227, quality=0
PointX=0.278498, PointY=-0.379374, beamIdx=228, quality=0
PointX=0.281955, PointY=-0.379184, beamIdx=229, quality=0
PointX=0.285311, PointY=-0.379048, beamIdx=230, quality=0
PointX=0.288785, PointY=-0.378802, beamIdx=231, quality=0
PointX=0.292084, PointY=-0.378668, beamIdx=232, quality=0
PointX=0.295718, PointY=-0.378254, beamIdx=233, quality=0
PointX=0.299068, PointY=-0.378038, beamIdx=234, quality=0
PointX=0.303166, PointY=-0.378422, beamIdx=235, quality=0
PointX=0.306499, PointY=-0.378178, beamIdx=236, quality=0
PointX=0.310020, PointY=-0.377760, beamIdx=237, quality=0
PointX=0.314263, PointY=-0.377954, beamIdx=238, quality=0
PointX=0.317910, PointY=-0.377382, beamIdx=239, quality=0
PointX=0.321962, PointY=-0.377687, beamIdx=240, quality=0
PointX=0.324894, PointY=-0.376424, beamIdx=241, quality=0
PointX=0.329556, PointY=-0.377413, beamIdx=242, quality=0
PointX=0.333125, PointY=-0.376809, beamIdx=243, quality=0
PointX=0.337224, PointY=-0.376980, beamIdx=244, quality=0
PointX=0.341446, PointY=-0.377018, beamIdx=245, quality=0
PointX=0.345753, PointY=-0.376952, beamIdx=246, quality=0
PointX=0.349353, PointY=-0.376216, beamIdx=247, quality=0
PointX=0.353464, PointY=-0.376279, beamIdx=248, quality=0
PointX=0.357732, PointY=-0.376170, beamIdx=249, quality=0
PointX=0.361280, PointY=-0.375407, beamIdx=250, quality=0
PointX=0.364904, PointY=-0.374546, beamIdx=251, quality=0
PointX=0.000000, PointY=-0.525766, beamIdx=252, quality=0
PointX=0.000000, PointY=-0.532422, beamIdx=253, quality=0
PointX=0.217439, PointY=0.483913, beamIdx=254, quality=0
PointX=0.491009, PointY=0.210740, beamIdx=255, quality=0
Telemetry Data:
Position: Latitude=63.441601  Longitude=10.417554
Pose: Roll=179.44  Pitch=179.94
Heading: Heading=-178.68
Depth: Depth=6.87
Altitude: Altitude=3.77
77
